using device: cuda
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: True
step0 | loss: 10.947460174560547 | dt: 17781.67ms | tok/sec:  921.40 | norm: 28.57 | lr: 0.00001000
step126 | loss: 5.370940685272217 | dt: 1480.47ms | tok/sec:  11066.79 | norm: 1.82 | lr: 0.00059976
step127 | loss: 5.163417816162109 | dt: 2056.67ms | tok/sec:  7966.29 | norm: 1.11 | lr: 0.00059975
step128 | loss: 5.176133155822754 | dt: 1506.86ms | tok/sec:  10872.95 | norm: 1.87 | lr: 0.00059975
step129 | loss: 5.128559112548828 | dt: 2281.54ms | tok/sec:  7181.11 | norm: 1.94 | lr: 0.00059974
step130 | loss: 5.136991500854492 | dt: 1560.21ms | tok/sec:  10501.14 | norm: 1.41 | lr: 0.00059973
step131 | loss: 5.093733310699463 | dt: 2106.43ms | tok/sec:  7778.09 | norm: 1.52 | lr: 0.00059972
step132 | loss: 4.977081775665283 | dt: 1449.41ms | tok/sec:  11303.88 | norm: 1.23 | lr: 0.00059972
step133 | loss: 5.280778408050537 | dt: 2013.76ms | tok/sec:  8136.04 | norm: 1.65 | lr: 0.00059971
step134 | loss: 5.365334510803223 | dt: 1433.55ms | tok/sec:  11428.95 | norm: 1.31 | lr: 0.00059970
step135 | loss: 5.097433567047119 | dt: 2040.51ms | tok/sec:  8029.36 | norm: 1.32 | lr: 0.00059969
step136 | loss: 5.027228355407715 | dt: 1630.46ms | tok/sec:  10048.71 | norm: 1.29 | lr: 0.00059968
step137 | loss: 4.998545169830322 | dt: 2277.92ms | tok/sec:  7192.52 | norm: 1.15 | lr: 0.00059968
step138 | loss: 5.071348667144775 | dt: 1856.86ms | tok/sec:  8823.48 | norm: 1.92 | lr: 0.00059967
step139 | loss: 4.875735282897949 | dt: 2188.88ms | tok/sec:  7485.10 | norm: 1.76 | lr: 0.00059966
step140 | loss: 5.235252857208252 | dt: 1427.46ms | tok/sec:  11477.72 | norm: 1.34 | lr: 0.00059965
step141 | loss: 4.894234657287598 | dt: 2031.24ms | tok/sec:  8066.01 | norm: 1.53 | lr: 0.00059964
step142 | loss: 5.058803558349609 | dt: 1444.17ms | tok/sec:  11344.90 | norm: 1.52 | lr: 0.00059963
step143 | loss: 4.960038185119629 | dt: 2050.52ms | tok/sec:  7990.18 | norm: 1.59 | lr: 0.00059962
step144 | loss: 4.831426620483398 | dt: 1462.01ms | tok/sec:  11206.48 | norm: 1.41 | lr: 0.00059961
step145 | loss: 5.056999683380127 | dt: 2087.44ms | tok/sec:  7848.85 | norm: 1.47 | lr: 0.00059961
step146 | loss: 5.243841171264648 | dt: 1443.44ms | tok/sec:  11350.63 | norm: 1.13 | lr: 0.00059960
step147 | loss: 5.012176513671875 | dt: 2058.87ms | tok/sec:  7957.76 | norm: 1.14 | lr: 0.00059959
step148 | loss: 5.083762168884277 | dt: 1454.82ms | tok/sec:  11261.90 | norm: 1.14 | lr: 0.00059958
step149 | loss: 5.004018783569336 | dt: 2087.12ms | tok/sec:  7850.07 | norm: 1.12 | lr: 0.00059957
step150 | loss: 4.977231502532959 | dt: 1607.72ms | tok/sec:  10190.80 | norm: 1.09 | lr: 0.00059956
step151 | loss: 4.949889183044434 | dt: 2089.32ms | tok/sec:  7841.79 | norm: 0.85 | lr: 0.00059955
step152 | loss: 4.851797103881836 | dt: 1540.56ms | tok/sec:  10635.09 | norm: 1.09 | lr: 0.00059954
step153 | loss: 5.136516571044922 | dt: 2487.09ms | tok/sec:  6587.62 | norm: 1.21 | lr: 0.00059953
step154 | loss: 5.2115654945373535 | dt: 1836.12ms | tok/sec:  8923.17 | norm: 1.26 | lr: 0.00059952
step155 | loss: 4.998151779174805 | dt: 2099.80ms | tok/sec:  7802.64 | norm: 1.14 | lr: 0.00059951
step156 | loss: 4.886979103088379 | dt: 1495.80ms | tok/sec:  10953.34 | norm: 1.28 | lr: 0.00059950
step157 | loss: 4.866522789001465 | dt: 2114.48ms | tok/sec:  7748.49 | norm: 1.16 | lr: 0.00059949
step158 | loss: 4.939664363861084 | dt: 1491.30ms | tok/sec:  10986.37 | norm: 1.57 | lr: 0.00059948
step159 | loss: 4.742513656616211 | dt: 2089.78ms | tok/sec:  7840.06 | norm: 1.61 | lr: 0.00059947
step160 | loss: 5.204531669616699 | dt: 1470.10ms | tok/sec:  11144.84 | norm: 1.82 | lr: 0.00059945
step161 | loss: 4.847420692443848 | dt: 2130.12ms | tok/sec:  7691.60 | norm: 1.53 | lr: 0.00059944
step162 | loss: 5.016045570373535 | dt: 2080.06ms | tok/sec:  7876.69 | norm: 1.42 | lr: 0.00059943
step163 | loss: 4.858128547668457 | dt: 2049.92ms | tok/sec:  7992.51 | norm: 1.61 | lr: 0.00059942
step164 | loss: 4.718313217163086 | dt: 1437.92ms | tok/sec:  11394.27 | norm: 1.27 | lr: 0.00059941
step165 | loss: 4.917409896850586 | dt: 2032.88ms | tok/sec:  8059.48 | norm: 1.41 | lr: 0.00059940
step166 | loss: 5.104048728942871 | dt: 1435.77ms | tok/sec:  11411.27 | norm: 1.37 | lr: 0.00059939
step167 | loss: 4.908348560333252 | dt: 2019.19ms | tok/sec:  8114.13 | norm: 1.14 | lr: 0.00059938
step168 | loss: 4.949291229248047 | dt: 1421.55ms | tok/sec:  11525.43 | norm: 1.14 | lr: 0.00059936
step169 | loss: 4.843172073364258 | dt: 2071.57ms | tok/sec:  7908.96 | norm: 1.25 | lr: 0.00059935
step170 | loss: 4.862436294555664 | dt: 1423.11ms | tok/sec:  11512.84 | norm: 1.26 | lr: 0.00059934
step171 | loss: 4.927620887756348 | dt: 2056.99ms | tok/sec:  7965.05 | norm: 4.06 | lr: 0.00059933
step172 | loss: 4.883041858673096 | dt: 1444.62ms | tok/sec:  11341.40 | norm: 1.90 | lr: 0.00059932
